## Month: Март-2026
10,'Воскресенье','[b:Неделя 5-я по Пасхе. О самаряныне. ][i:Глас 4-ий ]','10:30','Литургия'
11,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий). ]','10:00-15:00','[i:Уборка храма]'
13,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
15,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
16,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
17,'Воскресенье','[b:Неделя 5-ая по Пасхе. О слепом. Мч. Пелагии, девы Тарсийской. ][i:Глас 5-ый.]','10:30','Литургия'
18,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником .(о.Анатолий).]','10:00-15:00','[i:Уборка храма ]'
20,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
'[b,grey:21]','[b,red:Четверг]','[b,red:Вознесение Господне.][br][b:Апостола и евангелиста Иоанна Богослова, прп. Арсения Великого.]','[b,red:10:30]','[b,red:Литургия]'
22,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
23,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
24,'Воскресенье','[b:Равноапп. Кирилла и Мефодия, учителей Словенских. ][i:Глас 5-ый.]','10:30','Литургия'
25,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)]','10:30-15:00','[i:Уборка храма ]'
27,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
29,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
'[b,green:30]','[b,green:Суббота]','[b,green:Троицкая родительская суббота.][br][b,green:Канун воскресного дня. ]','[b,green:14:00][br][b,green:17:30]','[b,green:Панихида][br][b,green:Всенощное бдение]'
'[b,green:31]','[b,green:Воскресенье]','[b,green:День Святой Троицы. Пятидесятница]','[b,green:10:30]','[b,green:Литургия]'
## Month: Июнь-2026
1,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий). ]','10:00-15:00','[i:Уборка храма]'
3,'Среда','Храм открыт для молитвы.','11:00-15:00[br]14:00','Храм открыт[br]Молебен'
5,'Пятница','Храм открыт для молитвы.','11:00-15:00[br]14:00','Храм открыт[br]Молебен'
6,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
7,'Воскресенье','[b,i:Неделя 1-я по Пятидесятнице, Всех святых. ][i:Глас 8-й.]','10:30','Литургия'
8,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза.]','10:00-15:00','[i:Уборка храма]'
10,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
12,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
13,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
14,'Воскресенье','Неделя 2-я по Пятидесятнице. Глас 1-й. Петров пост.[br][b,i,red:Всех святых в земле Русской просиявших.]','10:30','Литургия'
15,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)]','10:30-15:00[br]14:00','[i:Уборка храма][br]Панихида'
17,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
19,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
20,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
21,'Воскресенье','Неделя 3-я по Пятидесятнице. Глас 2-й.','10:30','Литургия'
22,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)]','10:30-15:00[br]14:00','[i:Уборка храма][br]Панихида'
24,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
26,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
27,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
28,'Воскресенье','Неделя 4-я по Пятидесятнице. Глас 3-ый.','10:30','Литургия'
29,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)]','10:30-15:00','[i:Уборка храма]'
